epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1871.64,1.9492,9.06652,1.89368,0.81599,0.704,0.75893,0.32521,1.89945,5.63031,1.8301,0.00999637,0.00333212,0.00999637,0.00333212,0.00999637,0.00333212,0.00999637,0.00333212
2,3551.49,1.7968,6.84556,1.75998,0.86997,0.68049,0.73886,0.30685,1.93379,5.67469,1.9054,0.0197984,0.00659947,0.0197984,0.00659947,0.0197984,0.00659947,0.0197984,0.00659947
3,4788.57,1.82861,7.27043,1.79534,0.86474,0.68854,0.76636,0.35265,1.85735,5.26671,1.85184,0.0294024,0.00980082,0.0294024,0.00980082,0.0294024,0.00980082,0.0294024,0.00980082
4,5956.75,1.80926,6.85687,1.77552,0.89527,0.7749,0.81493,0.38463,1.80385,4.57352,1.79576,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,7174.69,1.73779,6.17179,1.72476,0.91327,0.79358,0.82573,0.40544,1.73484,4.49093,1.75072,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,8245.29,1.70694,5.8745,1.6969,0.93376,0.82168,0.85118,0.41478,1.75152,4.03688,1.75331,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,9250.03,1.66867,5.51034,1.66197,0.94032,0.82733,0.85692,0.42345,1.70476,3.97398,1.72205,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,10262.9,1.64451,5.30108,1.65279,0.9439,0.8467,0.86369,0.42469,1.7197,3.84326,1.72312,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,11201.8,1.62313,5.07515,1.63701,0.94937,0.85141,0.86797,0.44852,1.66926,3.57937,1.68461,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,12102.9,1.60674,4.95766,1.62364,0.94992,0.8572,0.87683,0.47867,1.58953,3.55481,1.63761,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,12995.7,1.59065,4.87577,1.61655,0.95184,0.86043,0.8786,0.46764,1.62855,3.39446,1.66132,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,13883.4,1.58195,4.73243,1.60363,0.94273,0.86615,0.87645,0.4772,1.5949,3.37594,1.6375,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
